total time (train set)	% mean class accuracy (train set)	
 2.1439e+04	 9.1260e+01	
 2.1520e+04	 9.1223e+01	
 2.1601e+04	 9.1727e+01	
 2.1682e+04	 9.1922e+01	
 2.1763e+04	 9.1857e+01	
 2.1844e+04	 9.2044e+01	
 2.1925e+04	 9.1624e+01	
 2.2006e+04	 9.1689e+01	
 2.2087e+04	 9.1820e+01	
 2.2168e+04	 9.2118e+01	
 2.2249e+04	 9.1549e+01	
 2.2330e+04	 9.2351e+01	
 2.2411e+04	 9.2118e+01	
 2.2492e+04	 9.1894e+01	
 2.2573e+04	 9.2566e+01	
 2.2655e+04	 9.2034e+01	
 2.2736e+04	 9.2230e+01	
 2.2817e+04	 9.1969e+01	
 2.2898e+04	 9.2482e+01	
 2.2979e+04	 9.2379e+01	
 2.3060e+04	 9.2417e+01	
 2.3141e+04	 9.2687e+01	
 2.3222e+04	 9.2361e+01	
 2.3303e+04	 9.2986e+01	
 2.3384e+04	 9.3004e+01	
 2.3465e+04	 9.3032e+01	
 2.3546e+04	 9.2529e+01	
 2.3627e+04	 9.3210e+01	
 2.3708e+04	 9.3126e+01	
 2.3789e+04	 9.3014e+01	
 2.3870e+04	 9.2920e+01	
 2.3951e+04	 9.3377e+01	
 2.4032e+04	 9.3238e+01	
 2.4113e+04	 9.3042e+01	
 2.4194e+04	 9.2855e+01	
 2.4275e+04	 9.2930e+01	
 2.4356e+04	 9.3424e+01	
 2.4437e+04	 9.3032e+01	
 2.4519e+04	 9.2920e+01	
 2.4600e+04	 9.3377e+01	
 2.4681e+04	 9.3275e+01	
 2.4762e+04	 9.3424e+01	
 2.4843e+04	 9.3676e+01	
 2.4924e+04	 9.3312e+01	
 2.5005e+04	 9.3182e+01	
 2.5086e+04	 9.3303e+01	
 2.5167e+04	 9.3517e+01	
 2.5248e+04	 9.3536e+01	
 2.5329e+04	 9.3471e+01	
 2.5410e+04	 9.3760e+01	
 2.5491e+04	 9.2986e+01	
 2.5572e+04	 9.3545e+01	
 2.5653e+04	 9.3835e+01	
 2.5734e+04	 9.3695e+01	
 2.5815e+04	 9.4133e+01	
 2.5896e+04	 9.3835e+01	
 2.5977e+04	 9.4012e+01	
 2.6058e+04	 9.3881e+01	
 2.6139e+04	 9.3909e+01	
 2.6220e+04	 9.4404e+01	
 2.6301e+04	 9.4469e+01	
 2.6382e+04	 9.4320e+01	
 2.6463e+04	 9.4683e+01	
 2.6544e+04	 9.4562e+01	
 2.6626e+04	 9.4917e+01	
 2.6707e+04	 9.5243e+01	
 2.6788e+04	 9.4851e+01	
 2.6869e+04	 9.4655e+01	
 2.6950e+04	 9.4721e+01	
 2.7031e+04	 9.4870e+01	
 2.7112e+04	 9.4702e+01	
 2.7193e+04	 9.5187e+01	
